state,year,month,period,indicator,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,data_value,predicted_value
AK,2015,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2015,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2015,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2015,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,
AK,2016,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2016,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2016,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2016,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11,11
AK,2016,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11,11
AK,2016,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11,11
AK,2016,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13,13
AK,2016,August,12 month-ending,Cocaine (T40.5),100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2016,September,12 month-ending,Cocaine (T40.5),100,0.046992481,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11,11
AK,2016,October,12 month-ending,Cocaine (T40.5),100,0.069913773,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13,13
AK,2016,November,12 month-ending,Cocaine (T40.5),100,0.069946374,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15,15
AK,2016,December,12 month-ending,Cocaine (T40.5),100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15,15
AK,2017,January,12 month-ending,Cocaine (T40.5),100,0.068587106,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15,15
AK,2017,February,12 month-ending,Cocaine (T40.5),100,0.069013112,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18,18
AK,2017,March,12 month-ending,Cocaine (T40.5),100,0.068823125,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,19,19
AK,2017,April,12 month-ending,Cocaine (T40.5),100,0.069364162,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16,16
AK,2017,May,12 month-ending,Cocaine (T40.5),100,0.070142623,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18,18
AK,2017,June,12 month-ending,Cocaine (T40.5),100,0.070159027,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20,20
AK,2017,July,12 month-ending,Cocaine (T40.5),100,0.07082153,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20,20
AK,2017,August,12 month-ending,Cocaine (T40.5),100,0.047236656,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,21,21
AK,2017,September,12 month-ending,Cocaine (T40.5),100,0.023261224,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,22,22
AK,2017,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,20,20
AK,2017,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,17,17
AK,2017,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,18,18
AK,2018,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,16,16
AK,2018,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,14,14
AK,2018,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13,13
AK,2018,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,15,15
AK,2018,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2018,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
AK,2018,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2018,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2018,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2018,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2018,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
AK,2018,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
AK,2019,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
AK,2019,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,11,11
AK,2019,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
AK,2019,May,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,June,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,July,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,13,13
AK,2019,August,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,12,12
AK,2019,November,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2019,December,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2020,January,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2020,February,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2020,March,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.  Data suppressed (<10).,**,,
AK,2020,April,12 month-ending,Cocaine (T40.5),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,10,10
